tiempo (h),factor compuesto,factor referencia
11:38:11,1.0860,0.8444
11:39:08,1.0788,0.8397
11:40:12,1.0735,0.8369
11:41:10,1.0754,0.838
11:42:10,1.0784,0.8396
11:43:40,1.0074,0.7393
11:44:54,0.9732,0.6858
11:46:15,0.9433,0.6361
11:47:12,0.9229,0.5989
11:48:11,0.9011,0.5592
11:49:09,0.8782,0.5201
11:50:06,0.857,0.4816
11:51:13,0.8281,0.4304
11:52:42,0.7965,0.376
11:54:05,0.7681,0.3281
11:55:31,0.7392,0.2827
11:57:02,0.7071,0.2326
11:58:51,0.6724,0.1829
